Time,Runner,Pokemon,Category,Overall IV,ATK,ATK Total w/stones,HP,Stone 1,Stone 2,Stone 3,Bingo 1,Bingo 2,Bingo 3,Status,Video
0.46,Drew,Weepinbell,12-Boss,9.00%,459,9369,359,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=B5A_RYKCIek
0.46,Drew,Machop,12-Boss,72.00%,619,7495,525,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=B5A_RYKCIek
0.46,KawhiKnot,Weepinbell,12-Boss,60.50%,846,9729,675,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=0ZPCxZ15Z6o
0.46,KawhiKnot,Weepinbell,12-Boss,25.50%,793,8711,658,WW,WW,BB,ATK +5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=0ZPCxZ15Z6o
0.46,KawhiKnot,Machop,12-Boss,33.00%,533,7429,533,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=0ZPCxZ15Z6o
0.46,Pie3sradiation,Hitmonlee,12-Boss,77.00%,1142,9999,512,WW,Sc,Sc,WAIT -5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=AZ24CIYzOVA
0.46,Pie3sradiation,Machop,12-Boss,52.00%,538,8500,566,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=AZ24CIYzOVA
0.46,Pie3sradiation,Weepinbell,12-Boss,7.50%,757,9729,658,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=AZ24CIYzOVA
0.47,Drew,Machop,12-Boss,72.00%,619,7495,525,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=dhnjDc6rAfg
0.47,Drew,Hitmonlee,12-Boss,48.50%,1132,9045,465,WL,Sc,Sc,Other,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=dhnjDc6rAfg
0.47,Drew,Weepinbell,12-Boss,9.00%,459,9371,359,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=dhnjDc6rAfg
0.47,Superness,Machop,12-Boss,45.50%,556,6343,535,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=lrKwGaKx7_A
0.47,Superness,Machop,12-Boss,45.50%,556,6139,535,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=5lq2mle82F0
0.47,Superness,Hitmonlee,12-Boss,27.50%,1082,9684,473,WW,Sc,Sc,ATK +5%,Other,ATK +20%,PB,https://www.youtube.com/watch?v=lrKwGaKx7_A
0.47,Superness,Hitmonlee,12-Boss,36.50%,1056,8902,517,WW,WL,Sc,WAIT -5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=5lq2mle82F0
0.47,Superness,Hitmonlee,12-Boss,36.50%,1056,8934,517,WW,Sc,Sc,WAIT -5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=lrKwGaKx7_A
0.47,Superness,Hitmonlee,12-Boss,7.00%,1058,8841,456,WW,Sc,,WAIT -5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=5lq2mle82F0
0.48,greeeen,Weepinbell,12-Boss,64.50%,835,9589,694,WW,WW,BB,ATK +5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=bGqs0rmAR8A
0.48,greeeen,Hitmonlee,12-Boss,28.00%,1066,8928,490,WL,Sc,Sc,ATK +5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=bGqs0rmAR8A
0.48,greeeen,Machop ,12-Boss,62.00%,604,7401,520,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=bGqs0rmAR8A
0.48,Pie3sradiation,Weepinbell,12-Boss,7.50%,757,9652,658,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=_YWf_N6953M
0.48,Pie3sradiation,Weepinbell,12-Boss,46.00%,768,9732,724,WW,BB,BB,ATK +5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=_YWf_N6953M
0.48,Pie3sradiation,Machop,12-Boss,52.00%,538,8466,566,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=_YWf_N6953M
0.48,TuffHunter,Victreebell,12-Boss,15.50%,903,8794,728,WW,BB,BB,ATK +5%,ATK +10%,WAIT -10%,PB,https://www.youtube.com/watch?v=3XPCPhpPAAY
0.48,TuffHunter,Weepinbell,12-Boss,32.50%,773,8713,692,WW,WW,BB,WAIT -5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=3XPCPhpPAAY
0.48,TuffHunter,Machop,12-Boss,55.00%,610,7441,500,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=3XPCPhpPAAY
0.49,KapteinFint,Weepinbell,12-Boss,52.00%,782,8658,722,WW,BB,BB,ATK +5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=WXMo_cYWpoU
0.49,KapteinFint,Hitmonlee,12-Boss,62.00%,1146,8975,478,WL,Sc,Sc,WAIT -5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=WXMo_cYWpoU
0.49,KapteinFint,Machop ,12-Boss,62.00%,554,8337,570,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=WXMo_cYWpoU
0.49,Lugiamaster0249,Hitmonlee,12-Boss,58.00%,1142,8760,474,WL,WL,Sc,WAIT -5%,ATK +15%,WAIT -20%,PB,https://www.youtube.com/watch?v=cIpNfdJEd_o&t=90s
0.49,Lugiamaster0249,Weepinbell,12-Boss,57.50%,829,8615,686,WW,BB,BB,ATK +5%,ATK +15%,Other,PB,https://www.youtube.com/watch?v=cIpNfdJEd_o&t=90s
0.49,Lugiamaster0249,Machop ,12-Boss,59.50%,556,6171,563,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=cIpNfdJEd_o&t=90s
0.49,manster,Weepinbell,12-Boss,90.00%,850,9662,730,WW,WW,BB,WAIT -5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=-I8JJMVnYIc
0.49,manster,Hitmonlee,12-Boss,85.50%,1137,8977,534,WL,Sc,Sc,ATK +5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=-I8JJMVnYIc
0.49,manster,Machop ,12-Boss,44.00%,544,5473,544,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=-I8JJMVnYIc
0.49,Pie3sradiation,Hitmonlee,12-Boss,37.50%,1054,9999,521,WL,Sc,Sc,ATK +5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=1Lzg6CfsUG0
0.49,Pie3sradiation,Victreebell,12-Boss,53.50%,926,9860,781,WW,BB,BB,WAIT -5%,ATK +10%,WAIT -10%,Legacy,https://www.youtube.com/watch?v=1Lzg6CfsUG0
0.49,Pie3sradiation,Machop ,12-Boss,28.50%,540,7467,517,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=1Lzg6CfsUG0
